,#,Model,GR#,GROUP_NAME,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MP_clash,MP_rotout,MP_ramout,MP_ramfv,reLLG_lddt,reLLG_const,Target
70,71,T1181TS312_1,312,Fernandez-Recio,65.26,100.0,71,0.18,0.36,52.04,39.45,46.97,10.385,10.673,688,4,67.01,69.33,71.51,68.707,1.29,11.36,54.5,544,4.2,0.9,0.82,90.19,0.77,0.84,0.95,0.15,0.94,74.7,7.74,-1.0,-1.0,0.78,1827.3,2.46,,0.66,0.1,0.53,1.17,94.75,0.0,2.58,T1181
71,72,T1181TS276_1,276,PICNIC,65.22,100.0,72,0.18,0.35,48.98,24.91,40.84,9.773,10.207,688,88,68.9,76.45,76.74,71.572,1.65,12.3,46.9,608,5.2,3.61,0.66,77.98,0.58,0.72,0.94,0.24,0.93,70.6,7.84,-1.0,-1.0,0.81,8226.7,5.63,83.52,0.38,11.62,30.88,21.43,62.68,0.84,0.46,T1181
72,73,T1181TS481_1,481s,GuijunLab-Meta,64.97,100.0,73,0.16,0.34,51.3,36.78,44.13,10.9,11.243,688,3,65.84,69.33,70.93,68.3,1.36,10.9,52.9,589,5.3,1.49,0.81,88.73,0.76,0.84,0.95,0.17,0.93,85.2,7.64,91.39,90.27,0.78,8709.4,2.51,90.6,0.64,2.42,0.53,1.02,92.42,4.4,1.65,T1181
73,74,T1181TS362_1,362,MESHI,64.86,100.0,74,0.16,0.33,47.85,26.75,41.83,12.566,12.642,688,9,72.38,76.45,76.45,70.661,1.5,12.67,47.8,585,5.3,4.43,0.69,87.36,0.63,0.77,0.98,0.18,0.93,66.5,8.21,-1.0,-1.0,0.79,8196.2,3.5,86.75,0.46,83.75,38.42,11.66,70.7,0.75,0.46,T1181
74,75,T1181TS208_1,208,B11L,63.81,100.0,75,0.09,0.27,53.2,42.89,51.38,17.199,17.536,688,5,65.55,68.9,70.2,67.97,1.23,11.27,53.5,534,4.1,1.52,0.81,86.05,0.77,0.82,0.82,0.27,0.9,79.7,7.64,-1.0,-1.0,0.74,8411.7,4.75,89.33,0.65,2.03,1.58,1.02,94.17,6.81,4.11,T1181
75,76,T1181TS433_1,433,OpenFold-SingleSeq,63.08,100.0,76,0.05,0.23,51.05,39.69,48.46,10.454,10.776,688,4,64.53,68.31,69.62,67.367,1.28,10.84,52.7,590,7.7,1.58,0.79,84.74,0.75,0.8,0.96,0.24,0.9,79.0,7.84,-1.0,-1.0,0.75,8534.7,4.68,92.26,0.61,1.84,2.11,1.02,94.17,6.0,2.91,T1181
76,77,T1181TS441_1,441,OpenFold,63.08,100.0,76,0.05,0.23,51.05,39.69,48.46,10.454,10.776,688,4,64.53,68.31,69.62,67.367,1.28,10.84,52.7,590,7.7,1.58,0.79,84.74,0.75,0.8,0.96,0.24,0.9,79.0,7.84,-1.0,-1.0,0.75,8534.7,4.68,92.26,0.61,1.84,2.11,1.02,94.17,6.0,2.91,T1181
77,78,T1181TS037_1,037,Wallner,61.99,100.0,78,-0.02,0.16,50.98,39.71,48.48,22.856,23.154,688,5,63.52,67.15,68.17,65.745,1.3,10.7,51.5,616,23.1,1.65,0.79,86.85,0.75,0.83,0.95,0.16,0.89,82.7,7.74,-1.0,-1.0,0.73,8775.3,2.94,92.44,0.62,1.45,2.28,0.73,91.84,7.95,3.66,T1181
78,79,T1181TS011_1,011s,GinobiFold-SER,60.87,100.0,79,-0.09,0.1,48.18,36.89,45.35,13.966,14.166,688,5,63.52,66.72,68.46,65.125,1.35,10.84,48.4,547,7.5,1.5,0.79,88.88,0.75,0.83,0.95,0.16,0.9,76.4,7.74,-1.0,-1.0,0.74,8115.4,3.16,90.31,0.63,2.52,0.88,1.46,92.57,4.1,1.85,T1181
79,80,T1181TS205_1,205,Zou,60.61,100.0,80,-0.11,0.08,47.45,37.4,45.58,12.53,12.568,688,4,64.97,67.59,71.66,68.487,1.4,11.47,42.2,615,11.4,1.6,0.73,76.31,0.71,0.77,0.91,0.28,0.84,76.4,7.74,-1.0,-1.0,0.75,7987.8,13.13,91.96,0.58,0.77,2.98,0.44,91.55,2.21,1.43,T1181
80,81,T1181TS188_1,188s,GuijunLab-DeepDA,60.57,100.0,81,-0.11,0.08,47.34,36.07,42.69,13.581,13.596,688,4,66.13,68.17,72.09,67.714,1.56,11.56,43.2,625,12.8,2.02,0.73,76.31,0.72,0.77,0.92,0.24,0.84,78.6,7.74,-1.0,-1.0,0.74,8217.7,12.87,91.1,0.6,4.65,2.28,1.9,91.4,1.82,1.26,T1181
81,82,T1181TS098_1,098s,GuijunLab-Assembly,60.57,100.0,81,-0.11,0.08,47.34,36.07,42.69,13.581,13.596,688,4,66.13,68.17,72.09,67.714,1.56,11.56,43.2,625,12.8,2.02,0.73,76.31,0.72,0.77,0.92,0.24,0.84,78.6,7.74,-1.0,-1.0,0.74,8217.7,12.87,91.1,0.6,4.65,2.28,1.9,91.4,1.82,1.26,T1181
82,83,T1181TS444_1,444,CoDock,60.39,100.0,83,-0.12,0.07,47.46,37.6,45.64,10.061,10.075,688,7,62.79,67.15,68.46,65.385,1.37,10.73,49.8,539,4.8,1.19,0.77,84.52,0.72,0.8,0.91,0.19,0.93,76.8,8.03,-1.0,-1.0,0.73,7775.5,5.05,92.87,0.61,0.19,0.35,2.33,87.03,2.51,1.4,T1181
83,84,T1181TS147_1,147,SHT,59.52,100.0,84,-0.17,0.02,45.2,34.77,42.46,7.932,8.034,688,8,58.43,64.39,72.38,68.371,1.53,10.9,49.0,586,4.0,1.32,0.72,74.89,0.71,0.75,0.91,0.26,0.87,67.7,7.64,-1.0,-1.0,0.75,8025.3,14.58,89.62,0.57,0.68,1.58,1.03,93.09,3.29,1.91,T1181
84,85,T1181TS245_1,245s,FoldEver,59.3,100.0,85,-0.19,0.01,46.95,36.07,44.19,15.217,15.255,688,10,60.47,64.53,69.33,65.92,1.37,10.87,49.6,645,14.4,2.3,0.72,72.82,0.71,0.76,0.92,0.32,0.85,83.6,7.74,-1.0,-1.0,0.72,8597.2,12.86,90.03,0.56,13.18,2.28,1.17,94.02,4.72,1.94,T1181
85,86,T1181TS385_1,385,FoldEver-Hybrid,59.3,100.0,85,-0.19,0.01,46.95,36.07,44.19,15.217,15.255,688,10,60.47,64.53,69.33,65.92,1.37,10.87,49.6,645,14.4,2.3,0.72,72.82,0.71,0.76,0.92,0.32,0.85,83.6,7.74,-1.0,-1.0,0.72,8597.2,12.86,90.03,0.56,13.18,2.28,1.17,94.02,4.72,1.94,T1181
86,87,T1181TS073_1,073s,DFolding-refine,58.61,100.0,87,-0.23,-0.03,43.72,33.22,41.84,22.971,23.07,688,4,63.08,67.3,67.44,63.567,1.45,10.73,50.2,549,14.6,2.25,0.72,77.98,0.69,0.76,0.86,0.36,0.87,67.9,7.84,-1.0,-1.0,0.71,7756.2,8.49,87.01,0.54,5.42,3.51,1.31,90.09,1.76,0.92,T1181
87,88,T1181TS054_1,054,UltraFold,57.38,100.0,88,-0.3,-0.11,43.31,34.69,41.62,14.286,14.275,688,6,59.3,62.94,68.02,63.893,1.38,10.79,49.3,538,7.5,1.87,0.73,75.73,0.72,0.76,0.92,0.25,0.86,77.6,7.74,-1.0,-1.0,0.71,7746.3,12.58,89.67,0.58,3.1,2.63,1.31,92.86,2.64,1.07,T1181
88,89,T1181TS399_1,399,BeijingAIProtein,57.38,100.0,88,-0.3,-0.11,43.31,34.69,41.62,14.286,14.275,688,6,59.3,62.94,68.02,63.893,1.38,10.79,49.3,538,7.5,1.87,0.73,75.73,0.72,0.76,0.92,0.25,0.86,77.6,7.74,-1.0,-1.0,0.71,7746.3,12.58,89.67,0.58,3.1,2.63,1.31,92.86,2.64,1.07,T1181
89,90,T1181TS125_1,125s,UltraFold_Server,57.38,100.0,88,-0.3,-0.11,43.31,34.69,41.62,14.286,14.275,688,6,59.3,62.94,68.02,63.893,1.38,10.79,49.3,538,7.5,1.87,0.73,75.73,0.72,0.76,0.92,0.25,0.86,77.6,7.74,-1.0,-1.0,0.71,7746.3,12.58,89.67,0.58,3.1,2.63,1.31,92.86,2.64,1.07,T1181
90,91,T1181TS478_1,478,Agemo,54.91,100.0,91,-0.46,-0.25,41.28,30.7,38.38,16.85,17.154,688,6,57.85,64.53,65.99,62.445,1.63,10.33,35.8,517,5.8,1.83,0.71,75.58,0.68,0.75,0.92,0.27,0.87,69.0,7.74,84.12,81.19,0.7,7288.3,6.48,90.39,0.52,3.29,1.75,2.48,90.96,1.43,0.52,T1181
91,92,T1181TS304_1,304,Manifold-X,52.54,100.0,92,-0.6,-0.39,38.41,26.89,35.22,12.556,12.564,688,7,54.8,59.88,65.12,60.865,1.62,10.27,42.6,570,8.9,1.18,0.66,67.95,0.67,0.7,0.9,0.34,0.82,59.5,7.54,-1.0,-1.0,0.71,2623.6,15.29,87.16,0.53,0.48,0.7,0.88,91.23,1.43,0.55,T1181
92,93,T1181TS248_1,248,Manifold,52.54,100.0,92,-0.6,-0.39,38.41,26.89,35.22,12.556,12.564,688,7,54.8,59.88,65.12,60.865,1.62,10.27,42.6,570,8.9,1.18,0.66,67.95,0.67,0.7,0.9,0.34,0.82,59.5,7.54,-1.0,-1.0,0.71,2623.6,15.29,87.16,0.53,0.48,0.7,0.88,91.23,1.43,0.55,T1181
93,94,T1181TS046_1,046s,Manifold-LC-E,52.54,100.0,92,-0.6,-0.39,38.41,26.89,35.22,12.556,12.564,688,7,54.8,59.88,65.12,60.865,1.62,10.27,42.6,570,8.9,1.18,0.66,67.95,0.67,0.7,0.9,0.34,0.82,59.5,7.54,-1.0,-1.0,0.71,2623.6,15.29,87.16,0.53,0.48,0.7,0.88,91.23,1.43,0.55,T1181
94,95,T1181TS035_1,035s,Manifold-E,52.54,100.0,92,-0.6,-0.39,38.41,26.89,35.22,12.556,12.564,688,7,54.8,59.88,65.12,60.865,1.62,10.27,42.6,570,8.9,1.18,0.66,67.95,0.67,0.7,0.9,0.34,0.82,59.5,7.54,-1.0,-1.0,0.71,2623.6,15.29,87.16,0.53,0.48,0.7,0.88,91.23,1.43,0.55,T1181
95,96,T1181TS423_1,423,trComplex,52.33,100.0,96,-0.61,-0.4,40.34,23.32,27.32,23.167,23.468,688,20,45.06,45.06,58.43,55.896,1.4,9.47,40.3,559,22.9,3.5,0.67,78.05,0.7,0.77,0.9,0.29,0.86,76.1,7.13,-1.0,-1.0,0.68,6930.5,7.5,89.56,0.57,65.41,6.32,4.66,87.61,3.14,1.41,T1181
96,97,T1181TS067_1,067,ESM-single-sequence,52.07,100.0,97,-0.63,-0.42,41.61,30.85,39.1,18.552,18.9,688,7,53.2,57.12,64.1,59.836,1.53,9.84,38.8,506,6.8,2.28,0.7,73.33,0.69,0.73,0.85,0.35,0.82,80.1,7.64,-1.0,-1.0,0.66,6942.3,11.77,91.66,0.54,4.45,4.39,2.19,89.21,4.94,1.3,T1181
97,98,T1181TS123_1,123,RostlabUeFOFold,48.84,100.0,98,-0.83,-0.61,33.5,20.59,28.99,26.539,27.009,688,2,50.29,60.9,60.9,53.452,1.82,9.47,38.7,493,5.8,3.9,0.52,58.36,0.53,0.6,0.79,0.57,0.82,48.6,7.93,-1.0,-1.0,0.66,3975.3,23.24,86.81,0.35,93.99,5.96,15.45,66.76,0.53,0.13,T1181
98,99,T1181TS298_1,298s,MUFold,47.42,100.0,99,-0.92,-0.69,35.39,24.33,28.88,16.716,16.645,688,6,50.73,58.28,62.65,50.108,2.0,9.76,41.9,499,7.3,2.52,0.66,63.81,0.66,0.68,0.85,0.47,0.82,68.8,7.54,-1.0,-1.0,0.66,6659.1,30.38,91.82,0.52,7.36,4.74,2.33,88.05,0.24,0.07,T1181
99,100,T1181TS257_1,257,WL_team,47.2,100.0,100,-0.93,-0.71,32.27,22.91,28.71,16.408,16.364,688,5,50.0,62.21,64.24,49.122,2.01,9.84,39.1,517,10.0,1.77,0.61,70.2,0.63,0.69,0.89,0.35,0.86,71.2,7.54,-1.0,-1.0,0.68,6358.1,13.8,81.0,0.48,0.97,3.33,1.31,88.63,0.12,0.07,T1181
100,101,T1181TS140_1,140,EMBER3D,46.08,100.0,101,-1.0,-0.77,30.38,19.93,27.61,22.228,22.139,688,2,48.55,60.03,60.76,47.237,2.0,9.5,27.9,508,7.4,1.6,0.55,58.14,0.55,0.6,0.83,0.5,0.84,57.5,7.93,-1.0,-1.0,0.67,5861.2,14.9,90.72,0.36,2.03,0.18,2.19,86.59,0.27,0.07,T1181
101,102,T1181TS443_1,443s,BAKER-SERVER,41.02,100.0,102,-1.31,-1.07,29.62,21.21,27.01,13.398,13.611,688,5,37.65,42.3,55.52,50.158,1.75,7.16,39.2,555,7.6,1.26,0.73,78.78,0.71,0.77,0.91,0.29,0.8,73.8,7.24,-1.0,-1.0,0.57,5587.5,7.37,86.27,0.56,2.61,0.0,0.15,96.65,0.5,0.24,T1181
102,103,T1181TS427_1,427s,MESHI_server,39.32,100.0,103,-1.41,-1.17,25.91,14.54,22.51,19.603,19.831,688,7,39.53,45.78,57.85,48.169,1.96,8.76,28.7,489,16.2,4.37,0.51,55.38,0.54,0.58,0.77,0.58,0.76,69.3,6.58,-1.0,-1.0,0.61,5118.3,50.12,90.89,0.35,75.23,37.02,12.1,71.28,0.1,0.06,T1181
103,104,T1181TS370_1,370s,wuqi,36.37,100.0,104,-1.59,-1.34,24.45,14.94,21.87,18.412,18.466,688,4,33.43,44.77,56.98,47.971,1.91,8.53,31.0,485,8.6,1.59,0.53,55.02,0.54,0.57,0.82,0.57,0.75,55.0,7.24,-1.0,-1.0,0.58,2990.3,19.93,63.61,0.33,2.81,0.0,1.02,91.11,0.14,0.09,T1181
104,105,T1181TS333_1,333s,FALCON0,33.65,100.0,105,-1.76,-1.5,21.48,0.0,13.57,15.647,15.666,688,116,33.28,41.72,46.8,36.735,1.96,6.59,22.3,454,9.5,,0.16,43.41,0.43,0.22,0.59,0.99,0.69,34.6,6.81,-1.0,-1.0,0.55,3570.6,57.84,,0.16,357.99,,39.65,41.84,0.0,0.02,T1181
105,106,T1181TS368_1,368s,FALCON2,33.65,100.0,105,-1.76,-1.5,21.48,0.0,13.57,15.647,15.666,688,116,33.28,41.72,46.8,36.735,1.96,6.59,22.3,454,9.5,,0.16,43.41,0.43,0.22,0.59,0.99,0.69,34.6,6.81,-1.0,-1.0,0.55,3570.6,57.84,,0.16,357.99,,39.65,41.84,0.0,0.02,T1181
106,107,T1181TS091_1,091,UNRES,27.73,100.0,107,-2.12,-1.85,19.59,8.43,10.71,30.885,31.051,688,0,19.48,20.06,32.85,30.592,1.7,4.74,28.9,287,8.0,1.89,0.56,60.47,0.59,0.58,0.43,1.09,0.65,63.5,6.35,-1.0,-1.0,0.39,3240.1,85.3,79.8,0.42,1.26,2.98,4.08,83.38,0.04,0.03,T1181
107,108,T1181TS315_1,315s,Cerebra,17.26,100.0,108,-2.77,-2.47,7.71,3.51,5.33,24.902,25.096,688,2,6.54,10.47,32.12,18.798,2.63,3.63,7.1,181,13.4,1.69,0.31,17.73,0.39,0.28,0.48,1.27,0.63,40.8,4.42,-1.0,-1.0,0.42,553.6,112.15,,0.15,2.81,0.0,2.04,87.17,0.0,0.0,T1181
108,109,T1181TS052_1,052,Gonglab-THU,17.26,100.0,108,-2.77,-2.47,7.71,3.51,5.33,24.902,25.096,688,2,6.54,10.47,32.12,18.798,2.63,3.63,7.1,181,13.4,1.69,0.31,17.73,0.39,0.28,0.48,1.27,0.63,40.8,4.42,-1.0,-1.0,0.42,553.6,112.15,,0.15,2.81,0.0,2.04,87.17,0.0,0.0,T1181
109,110,T1181TS447_1,447,DELCLAB,6.58,100.0,110,-3.42,-3.09,2.98,0.82,1.35,19.983,20.37,688,1,0.73,2.18,36.19,23.256,2.31,4.08,16.6,342,9.7,2.35,0.21,7.99,0.33,0.11,0.3,1.64,0.53,39.5,4.58,-1.0,-1.0,0.27,2147.9,197.07,91.63,0.05,0.87,11.4,8.16,75.95,0.0,0.0,T1181
110,111,T1181TS212_1,212s,BhageerathH-Pro,6.43,100.0,111,-3.43,-3.1,3.12,0.54,1.76,19.364,19.868,688,20,1.89,5.96,38.95,23.583,2.41,5.25,16.9,364,6.5,3.96,0.19,6.25,0.32,0.1,0.27,1.78,0.51,40.3,5.33,-1.0,-1.0,0.27,1423.9,185.06,49.78,0.04,154.95,7.19,5.16,85.25,0.0,0.0,T1181
111,112,T1181TS280_1,280s,ACOMPMOD,3.89,100.0,112,-3.59,-3.25,1.71,0.47,0.92,237.736,237.189,688,4,0.0,0.0,15.7,9.293,2.42,0.2,3.8,178,16.6,3.47,0.16,3.49,0.28,0.04,0.22,2.27,0.48,22.4,4.74,-1.0,-1.0,0.18,674.5,2107.61,63.9,0.04,112.11,2.98,4.08,88.05,0.0,0.0,T1181
112,113,T1181TS219_1,219s,Pan_Server,3.78,100.0,113,-3.59,-3.26,2.07,0.36,1.01,36.379,36.636,688,15,0.0,0.15,11.05,6.293,2.7,-1.82,0.0,0,,3.0,0.19,4.58,0.31,0.06,0.23,2.12,0.5,31.3,1.99,-1.0,-1.0,0.17,,169.65,80.02,0.05,3.87,15.61,13.12,59.18,0.0,0.0,T1181
0,1,T1187TS399_1,399,BeijingAIProtein,96.49,100.0,1,0.67,0.67,86.43,69.44,80.86,0.934,1.213,164,0,98.17,99.39,99.39,98.374,0.93,10.02,28.5,164,0.9,0.95,0.9,98.48,0.84,0.91,1.0,0.03,0.98,93.3,6.92,98.88,97.23,0.97,1881.1,0.46,94.33,0.74,1.85,0.7,0.0,98.17,29.82,27.13,T1187
1,2,T1187TS125_1,125s,UltraFold_Server,96.49,100.0,1,0.67,0.67,86.43,69.44,80.86,0.934,1.213,164,0,98.17,99.39,99.39,98.374,0.93,10.02,28.5,164,0.9,0.95,0.9,98.48,0.84,0.91,1.0,0.03,0.98,93.3,6.92,98.88,97.23,0.97,1881.1,0.46,94.33,0.74,1.85,0.7,0.0,98.17,29.82,27.13,T1187
2,3,T1187TS054_1,054,UltraFold,96.49,100.0,1,0.67,0.67,86.43,69.44,80.86,0.934,1.213,164,0,98.17,99.39,99.39,98.374,0.93,10.02,28.5,164,0.9,0.95,0.9,98.48,0.84,0.91,1.0,0.03,0.98,93.3,6.92,98.88,97.23,0.97,1881.1,0.46,94.33,0.74,1.85,0.7,0.0,98.17,29.82,27.13,T1187
3,4,T1187TS447_1,447,DELCLAB,95.12,100.0,4,0.56,0.57,81.71,61.75,75.73,1.007,1.374,164,0,97.56,99.39,99.39,97.925,1.01,9.94,27.5,164,1.0,1.59,0.86,98.78,0.79,0.89,1.0,0.05,0.97,97.7,6.92,97.93,94.59,0.96,1818.2,0.73,36.35,0.7,0.37,4.2,1.22,92.07,0.02,12.72,T1187
4,5,T1187TS475_1,475s,MULTICOM_refine,94.67,100.0,5,0.53,0.54,81.71,62.25,75.17,1.179,1.567,164,0,95.73,98.78,98.78,97.35,1.02,9.94,27.9,164,1.2,0.82,0.87,97.56,0.82,0.89,0.99,0.03,0.97,93.3,6.92,98.32,95.95,0.96,1845.5,0.73,89.2,0.72,1.11,0.7,0.0,98.78,14.62,13.81,T1187
5,6,T1187TS037_1,037,Wallner,94.51,100.0,6,0.52,0.52,82.32,66.59,77.52,1.18,1.561,164,0,95.73,98.17,98.17,96.711,0.99,9.78,27.7,164,1.2,1.33,0.88,96.65,0.82,0.89,0.99,0.05,0.97,93.3,6.92,98.05,94.82,0.96,1828.8,0.81,91.71,0.72,2.58,1.4,0.0,96.95,23.39,21.61,T1187
6,7,T1187TS278_1,278,PEZYFoldings,94.36,100.0,7,0.51,0.51,85.21,66.44,77.83,1.242,1.678,164,0,92.68,98.17,98.17,96.847,1.17,9.78,28.1,164,1.2,1.19,0.88,95.12,0.82,0.89,0.99,0.04,0.97,92.7,6.92,98.64,96.55,0.96,1854.2,0.65,91.2,0.72,4.06,0.7,0.61,98.17,29.92,26.76,T1187
7,8,T1187TS074_1,074,DFolding,94.36,100.0,7,0.51,0.51,82.78,62.17,75.71,1.468,1.841,164,0,93.9,96.34,96.34,96.705,1.22,9.61,28.1,164,1.5,0.5,0.89,95.43,0.82,0.89,0.99,0.03,0.96,93.3,6.92,98.56,96.65,0.95,1857.6,0.61,92.3,0.71,0.0,0.7,0.0,98.17,26.4,12.83,T1187
8,9,T1187TS204_1,204,Asclepius,93.9,100.0,9,0.47,0.48,83.23,64.22,76.25,1.499,1.855,164,0,93.29,95.73,95.73,95.962,1.1,9.61,27.9,164,1.5,1.04,0.88,95.43,0.82,0.89,0.99,0.03,0.96,93.3,6.92,98.47,96.27,0.95,1842.9,0.62,90.88,0.71,2.58,0.7,0.0,98.17,25.38,22.56,T1187
9,10,T1187TS092_1,092,Agemo_mix,93.9,100.0,9,0.47,0.48,83.23,64.22,76.25,1.499,1.855,164,0,93.29,95.73,95.73,95.962,1.1,9.61,27.9,164,1.5,1.04,0.88,95.43,0.82,0.89,0.99,0.03,0.96,93.3,6.92,98.47,96.27,0.95,1842.9,0.62,90.88,0.71,2.58,0.7,0.0,98.17,25.38,22.56,T1187
10,11,T1187TS166_1,166s,RaptorX,93.75,100.0,11,0.46,0.47,81.4,62.34,75.84,1.59,1.929,164,0,93.9,95.73,95.73,95.325,0.94,9.45,27.7,164,1.6,0.95,0.88,94.21,0.82,0.89,0.99,0.04,0.96,93.3,6.92,98.27,95.66,0.95,1830.9,0.81,90.9,0.71,1.85,0.7,0.0,98.17,19.46,17.24,T1187
11,12,T1187TS298_1,298s,MUFold,93.75,100.0,11,0.46,0.47,84.0,64.84,77.83,1.43,1.882,164,0,93.9,96.34,96.34,95.817,1.09,9.61,27.9,164,1.4,1.25,0.87,94.21,0.81,0.89,0.99,0.04,0.96,93.3,6.92,98.42,96.02,0.95,1840.6,0.76,91.99,0.73,2.58,1.4,0.0,97.56,28.87,22.53,T1187
12,13,T1187TS008_1,008,bench,93.6,100.0,13,0.45,0.45,81.25,63.03,74.82,1.512,1.919,164,0,93.29,95.12,95.12,95.903,1.14,9.53,27.7,164,1.5,1.32,0.85,93.27,0.81,0.84,0.99,0.04,0.96,93.3,6.92,98.27,95.67,0.95,1830.3,0.81,90.66,0.69,4.6,0.7,0.0,97.56,23.63,20.94,T1187
13,14,T1187TS018_1,018s,server_123,93.6,100.0,13,0.45,0.45,79.27,61.75,73.6,1.143,1.574,164,0,96.34,98.78,98.78,97.24,1.08,9.86,27.8,164,1.1,0.74,0.87,97.56,0.82,0.88,1.0,0.04,0.97,93.3,6.92,98.36,96.1,0.96,1840.0,0.67,91.86,0.71,0.74,0.7,0.0,98.78,18.65,15.62,T1187
14,15,T1187TS165_1,165,FTBiot0119,93.29,100.0,15,0.43,0.43,81.56,63.34,76.48,1.419,1.879,164,0,93.29,96.34,96.34,95.986,1.09,9.45,27.8,164,1.4,1.0,0.87,94.21,0.81,0.88,0.99,0.04,0.96,93.3,6.92,98.33,95.82,0.95,1834.1,0.77,90.41,0.7,2.21,0.7,0.0,98.17,26.18,22.51,T1187
15,16,T1187TS342_1,342,hFold_human,93.29,100.0,15,0.43,0.43,80.49,61.69,74.32,1.495,1.934,164,0,93.29,96.34,96.34,96.213,1.2,9.45,27.6,164,1.5,0.89,0.87,94.21,0.81,0.88,0.99,0.04,0.96,93.3,6.92,98.22,95.58,0.95,1824.3,0.81,90.19,0.7,1.48,0.0,0.0,98.17,21.61,18.94,T1187
16,17,T1187TS199_1,199,TB_model_prediction,93.29,100.0,15,0.43,0.43,81.56,63.34,76.48,1.419,1.879,164,0,93.29,96.34,96.34,95.986,1.09,9.45,27.8,164,1.4,1.0,0.87,94.21,0.81,0.88,0.99,0.04,0.96,93.3,6.92,98.33,95.82,0.95,1834.1,0.77,89.85,0.7,2.21,0.7,0.0,98.17,25.97,22.51,T1187
17,18,T1187TS261_1,261s,server_122,93.29,100.0,15,0.43,0.43,80.94,63.48,76.14,1.556,1.965,164,0,92.68,95.12,95.12,95.574,1.08,9.53,27.8,164,1.6,0.89,0.88,94.21,0.82,0.89,0.99,0.04,0.96,93.3,6.92,98.33,95.83,0.94,1834.1,0.79,90.59,0.71,1.48,0.0,0.0,98.17,24.65,21.68,T1187
18,19,T1187TS350_1,350,ClusPro,93.29,100.0,15,0.43,0.43,80.79,56.65,71.83,1.526,2.064,164,0,93.29,95.73,95.73,95.828,1.15,9.45,27.5,164,1.5,2.51,0.83,94.21,0.77,0.87,0.99,0.05,0.96,88.5,6.81,98.13,95.22,0.95,1816.6,0.86,,0.65,11.45,3.5,2.44,90.85,0.0,13.14,T1187
19,20,T1187TS291_1,291,Kozakov-Vajda,93.29,100.0,15,0.43,0.43,80.79,57.69,72.97,1.526,2.034,164,0,93.29,95.73,95.73,95.828,1.15,9.45,27.5,164,1.5,1.57,0.85,94.21,0.79,0.88,0.99,0.05,0.96,88.2,6.81,98.13,95.22,0.95,1816.6,0.86,,0.68,5.91,0.7,0.0,96.34,0.0,15.47,T1187
20,21,T1187TS270_1,270s,NBIS-af2-standard,93.29,100.0,15,0.43,0.43,81.56,63.34,76.48,1.419,1.879,164,0,93.29,96.34,96.34,95.986,1.09,9.45,27.8,164,1.4,1.0,0.87,94.21,0.81,0.88,0.99,0.04,0.96,93.3,6.92,98.33,95.82,0.95,1834.1,0.77,89.85,0.7,2.21,0.7,0.0,98.17,25.97,22.51,T1187
21,22,T1187TS208_1,208,B11L,93.14,100.0,22,0.41,0.42,80.94,62.66,75.07,1.515,1.953,164,0,92.68,96.34,96.34,95.154,1.08,9.53,27.7,164,1.5,0.74,0.87,94.21,0.82,0.88,0.99,0.04,0.96,93.3,6.81,98.26,95.69,0.94,1828.8,0.79,89.85,0.71,0.74,0.7,0.0,98.17,15.29,13.6,T1187
22,23,T1187TS353_1,353s,hFold,93.14,100.0,22,0.41,0.42,80.03,61.65,74.46,1.498,1.912,164,0,93.29,96.34,96.34,95.793,1.15,9.45,27.6,164,1.5,0.93,0.87,94.21,0.81,0.88,0.99,0.05,0.96,93.3,6.92,98.24,95.63,0.94,1826.3,0.79,89.93,0.71,1.11,1.4,0.0,98.78,16.41,18.23,T1187
23,24,T1187TS325_1,325,AIchemy_LIG,93.14,100.0,22,0.41,0.42,80.18,63.32,74.94,1.23,1.588,164,0,95.12,98.17,98.17,96.111,1.07,9.78,27.5,164,1.2,1.43,0.88,97.26,0.82,0.9,0.99,0.05,0.97,91.6,6.81,97.91,94.53,0.95,1820.2,0.8,92.81,0.73,4.8,0.7,0.0,96.95,21.52,15.3,T1187
24,25,T1187TS450_1,450s,ManiFold-serv,93.14,100.0,22,0.41,0.42,80.03,60.78,74.28,1.56,1.941,164,0,93.9,95.73,95.73,95.197,1.07,9.45,27.5,164,1.6,0.95,0.87,94.21,0.81,0.88,0.99,0.05,0.96,93.3,6.81,98.17,95.4,0.94,1817.6,0.83,90.17,0.7,1.85,0.0,0.0,98.17,18.37,15.95,T1187
25,26,T1187TS456_1,456,AIchemy_LIG2,93.14,100.0,22,0.41,0.42,80.18,63.32,74.94,1.23,1.588,164,0,95.12,98.17,98.17,96.111,1.07,9.78,27.5,164,1.2,1.43,0.88,97.26,0.82,0.9,0.99,0.05,0.97,91.6,6.81,97.91,94.53,0.95,1820.2,0.8,92.81,0.73,4.8,0.7,0.0,96.95,21.52,15.3,T1187
